cell	similarity_type	l1	l2	fold	auc
All	disease_similarity	0.0	0.1	1	0.5830784913353722
All	disease_similarity	0.0	0.1	2	0.6616161616161615
All	disease_similarity	0.0	0.1	3	0.662121212121212
All	disease_similarity	0.0	0.1	4	0.6916411824668705
All	disease_similarity	0.0	0.1	5	0.6131498470948012
All	disease_similarity	0.0	1.0	1	0.6340468909276248
All	disease_similarity	0.0	1.0	2	0.6616161616161615
All	disease_similarity	0.0	1.0	3	0.655050505050505
All	disease_similarity	0.0	1.0	4	0.6845056065239551
All	disease_similarity	0.0	1.0	5	0.6314984709480121
All	disease_similarity	0.0	10.0	1	0.6289500509683996
All	disease_similarity	0.0	10.0	2	0.6717171717171717
All	disease_similarity	0.0	10.0	3	0.665151515151515
All	disease_similarity	0.0	10.0	4	0.6763506625891946
All	disease_similarity	0.0	10.0	5	0.6406727828746178
All	disease_similarity	0.0	100.0	1	0.6493374108053007
All	disease_similarity	0.0	100.0	2	0.6838383838383839
All	disease_similarity	0.0	100.0	3	0.6823232323232323
All	disease_similarity	0.0	100.0	4	0.6722731906218145
All	disease_similarity	0.0	100.0	5	0.6284403669724771
All	disease_similarity	0.0	1000.0	1	0.6411824668705404
All	disease_similarity	0.0	1000.0	2	0.6868686868686869
All	disease_similarity	0.0	1000.0	3	0.6843434343434344
All	disease_similarity	0.0	1000.0	4	0.6743119266055047
All	disease_similarity	0.0	1000.0	5	0.6335372069317023
All	disease_similarity	0.1	0.1	1	0.6314984709480121
All	disease_similarity	0.1	0.1	2	0.6545454545454545
All	disease_similarity	0.1	0.1	3	0.6818181818181818
All	disease_similarity	0.1	0.1	4	0.7084607543323139
All	disease_similarity	0.1	0.1	5	0.6238532110091743
All	disease_similarity	0.1	1.0	1	0.6146788990825687
All	disease_similarity	0.1	1.0	2	0.6616161616161615
All	disease_similarity	0.1	1.0	3	0.6494949494949496
All	disease_similarity	0.1	1.0	4	0.6860346585117227
All	disease_similarity	0.1	1.0	5	0.6350662589194699
All	disease_similarity	0.1	10.0	1	0.6320081549439347
All	disease_similarity	0.1	10.0	2	0.6757575757575758
All	disease_similarity	0.1	10.0	3	0.6676767676767676
All	disease_similarity	0.1	10.0	4	0.6748216106014271
All	disease_similarity	0.1	10.0	5	0.63710499490316
All	disease_similarity	0.1	100.0	1	0.6483180428134557
All	disease_similarity	0.1	100.0	2	0.6828282828282829
All	disease_similarity	0.1	100.0	3	0.6797979797979798
All	disease_similarity	0.1	100.0	4	0.6722731906218145
All	disease_similarity	0.1	100.0	5	0.6269113149847094
All	disease_similarity	0.1	1000.0	1	0.6411824668705403
All	disease_similarity	0.1	1000.0	2	0.6868686868686869
All	disease_similarity	0.1	1000.0	3	0.6838383838383839
All	disease_similarity	0.1	1000.0	4	0.6743119266055045
All	disease_similarity	0.1	1000.0	5	0.6330275229357798
All	disease_similarity	1.0	0.1	1	0.6350662589194699
All	disease_similarity	1.0	0.1	2	0.6646464646464646
All	disease_similarity	1.0	0.1	3	0.6717171717171717
All	disease_similarity	1.0	0.1	4	0.7003058103975535
All	disease_similarity	1.0	0.1	5	0.6391437308868502
All	disease_similarity	1.0	1.0	1	0.6340468909276248
All	disease_similarity	1.0	1.0	2	0.6707070707070707
All	disease_similarity	1.0	1.0	3	0.6545454545454547
All	disease_similarity	1.0	1.0	4	0.6931702344546381
All	disease_similarity	1.0	1.0	5	0.6320081549439347
All	disease_similarity	1.0	10.0	1	0.6279306829765545
All	disease_similarity	1.0	10.0	2	0.6818181818181818
All	disease_similarity	1.0	10.0	3	0.6707070707070707
All	disease_similarity	1.0	10.0	4	0.6768603465851172
All	disease_similarity	1.0	10.0	5	0.6381243628950051
All	disease_similarity	1.0	100.0	1	0.6493374108053007
All	disease_similarity	1.0	100.0	2	0.6838383838383839
All	disease_similarity	1.0	100.0	3	0.6818181818181819
All	disease_similarity	1.0	100.0	4	0.671763506625892
All	disease_similarity	1.0	100.0	5	0.6279306829765545
All	disease_similarity	1.0	1000.0	1	0.6411824668705403
All	disease_similarity	1.0	1000.0	2	0.6868686868686869
All	disease_similarity	1.0	1000.0	3	0.6838383838383839
All	disease_similarity	1.0	1000.0	4	0.674821610601427
All	disease_similarity	1.0	1000.0	5	0.6330275229357798
All	disease_similarity	10.0	0.1	1	0.6299694189602447
All	disease_similarity	10.0	0.1	2	0.6797979797979797
All	disease_similarity	10.0	0.1	3	0.6727272727272727
All	disease_similarity	10.0	0.1	4	0.6890927624872579
All	disease_similarity	10.0	0.1	5	0.6411824668705403
All	disease_similarity	10.0	1.0	1	0.6279306829765545
All	disease_similarity	10.0	1.0	2	0.6767676767676768
All	disease_similarity	10.0	1.0	3	0.6757575757575758
All	disease_similarity	10.0	1.0	4	0.6890927624872578
All	disease_similarity	10.0	1.0	5	0.6411824668705401
All	disease_similarity	10.0	10.0	1	0.6320081549439347
All	disease_similarity	10.0	10.0	2	0.6838383838383839
All	disease_similarity	10.0	10.0	3	0.6686868686868687
All	disease_similarity	10.0	10.0	4	0.6829765545361876
All	disease_similarity	10.0	10.0	5	0.6279306829765545
All	disease_similarity	10.0	100.0	1	0.6462793068297655
All	disease_similarity	10.0	100.0	2	0.6838383838383839
All	disease_similarity	10.0	100.0	3	0.6828282828282828
All	disease_similarity	10.0	100.0	4	0.6707441386340469
All	disease_similarity	10.0	100.0	5	0.6289500509683996
All	disease_similarity	10.0	1000.0	1	0.6411824668705403
All	disease_similarity	10.0	1000.0	2	0.6868686868686869
All	disease_similarity	10.0	1000.0	3	0.6838383838383839
All	disease_similarity	10.0	1000.0	4	0.6768603465851172
All	disease_similarity	10.0	1000.0	5	0.6340468909276249
All	disease_similarity	100.0	0.1	1	0.6411824668705403
All	disease_similarity	100.0	0.1	2	0.6858585858585858
All	disease_similarity	100.0	0.1	3	0.685858585858586
All	disease_similarity	100.0	0.1	4	0.6819571865443425
All	disease_similarity	100.0	0.1	5	0.6238532110091742
All	disease_similarity	100.0	1.0	1	0.6432212028542303
All	disease_similarity	100.0	1.0	2	0.6868686868686869
All	disease_similarity	100.0	1.0	3	0.6868686868686869
All	disease_similarity	100.0	1.0	4	0.6829765545361877
All	disease_similarity	100.0	1.0	5	0.6228338430173292
All	disease_similarity	100.0	10.0	1	0.6350662589194699
All	disease_similarity	100.0	10.0	2	0.6878787878787879
All	disease_similarity	100.0	10.0	3	0.685858585858586
All	disease_similarity	100.0	10.0	4	0.6799184505606524
All	disease_similarity	100.0	10.0	5	0.6248725790010193
All	disease_similarity	100.0	100.0	1	0.6472986748216105
All	disease_similarity	100.0	100.0	2	0.6878787878787879
All	disease_similarity	100.0	100.0	3	0.6848484848484848
All	disease_similarity	100.0	100.0	4	0.6676860346585116
All	disease_similarity	100.0	100.0	5	0.6309887869520897
All	disease_similarity	100.0	1000.0	1	0.6391437308868501
All	disease_similarity	100.0	1000.0	2	0.6868686868686869
All	disease_similarity	100.0	1000.0	3	0.6868686868686869
All	disease_similarity	100.0	1000.0	4	0.6768603465851172
All	disease_similarity	100.0	1000.0	5	0.6340468909276249
All	disease_similarity	1000.0	0.1	1	0.6411824668705403
All	disease_similarity	1000.0	0.1	2	0.6898989898989899
All	disease_similarity	1000.0	0.1	3	0.687878787878788
All	disease_similarity	1000.0	0.1	4	0.6819571865443426
All	disease_similarity	1000.0	0.1	5	0.6350662589194699
All	disease_similarity	1000.0	1.0	1	0.6411824668705403
All	disease_similarity	1000.0	1.0	2	0.6898989898989899
All	disease_similarity	1000.0	1.0	3	0.687878787878788
All	disease_similarity	1000.0	1.0	4	0.6819571865443426
All	disease_similarity	1000.0	1.0	5	0.6350662589194699
All	disease_similarity	1000.0	10.0	1	0.6411824668705403
All	disease_similarity	1000.0	10.0	2	0.6878787878787879
All	disease_similarity	1000.0	10.0	3	0.687878787878788
All	disease_similarity	1000.0	10.0	4	0.6819571865443426
All	disease_similarity	1000.0	10.0	5	0.6350662589194699
All	disease_similarity	1000.0	100.0	1	0.6432212028542303
All	disease_similarity	1000.0	100.0	2	0.6868686868686869
All	disease_similarity	1000.0	100.0	3	0.686868686868687
All	disease_similarity	1000.0	100.0	4	0.6829765545361876
All	disease_similarity	1000.0	100.0	5	0.6391437308868502
All	disease_similarity	1000.0	1000.0	1	0.6381243628950051
All	disease_similarity	1000.0	1000.0	2	0.6838383838383839
All	disease_similarity	1000.0	1000.0	3	0.6878787878787879
All	disease_similarity	1000.0	1000.0	4	0.6788990825688074
All	disease_similarity	1000.0	1000.0	5	0.63710499490316
