hidden_layer_size	dropout	auc	aupr	bedauc	threshold	f1
[1024, 512, 256]	0.1	0.7115188583078491	0.2713834258171938	0.4257770903357028	0.99715805	0.5217391304347826
[1024, 512, 256]	0.2	0.6687054026503567	0.2495186113634738	0.3985166318360587	0.7525538	0.5
[1024, 512, 256]	0.3	0.6697247706422017	0.24967411319341898	0.39851666896514487	0.79367286	0.5
[1024, 512, 256]	0.4	0.6778797145769624	0.24387655020347393	0.3827470903164873	0.74679196	0.5
[1024, 512, 256]	0.5	0.6860346585117226	0.2679919966797094	0.4411324834529281	0.9270344999999999	0.5
[128, 64, 32]	0.1	0.6911314984709479	0.27274790424864165	0.46018177355620926	0.7809693	0.5
[128, 64, 32]	0.2	0.6952089704383282	0.26627551247015036	0.4393319385682385	0.9572217500000001	0.5
[128, 64, 32]	0.3	0.7217125382262995	0.28091555971155413	0.4673543050823408	0.96248144	0.5
[128, 64, 32]	0.4	0.7003058103975534	0.24992969148920582	0.3944546415936562	0.8175550000000001	0.5
[128, 64, 32]	0.5	0.7033639143730887	0.26363917546549714	0.4428075955277631	0.9552191000000001	0.5
[256, 128, 64]	0.1	0.7166156982670744	0.2726283967485735	0.45611934957758127	0.8307187	0.5
[256, 128, 64]	0.2	0.7227319062181448	0.36678090285760134	0.5058672859365085	0.9158355	0.5
[256, 128, 64]	0.3	0.7319062181447501	0.2846258290436511	0.4748025811361295	0.9195346000000001	0.5
[256, 128, 64]	0.4	0.7186544342507645	0.369931937574128	0.5099386040157536	0.9149936000000001	0.5
[256, 128, 64]	0.5	0.7196738022426096	0.28476838729026066	0.4638814775519135	0.9536908000000001	0.5
[512, 256, 128]	0.1	0.6992864424057085	0.2750218420582474	0.4335819872092058	0.86688244	0.5
[512, 256, 128]	0.2	0.6962283384301732	0.28178097955612313	0.45750538513161815	0.79676515	0.5454545454545455
[512, 256, 128]	0.3	0.6982670744138633	0.2850537529951086	0.46730911710242157	0.86980283	0.5217391304347826
[512, 256, 128]	0.4	0.7196738022426096	0.3018520248419777	0.48789425648177887	0.92433405	0.5217391304347826
[512, 256, 128]	0.5	0.7247706422018348	0.31152528669589696	0.5141151695431477	0.9386697400000001	0.5217391304347826
