hidden_layer_size	dropout	auc	aupr	bedauc	threshold	f1
[1024, 512, 256]	0.1	0.7584097859327217	0.3176155458294643	0.48083545363802715	0.9812178599999999	0.5217391304347826
[1024, 512, 256]	0.2	0.7573904179408767	0.313344670375558	0.4732930812363813	0.9834446	0.5263157894736842
[1024, 512, 256]	0.3	0.7584097859327218	0.3186470142432871	0.480616430598789	0.22089542	0.5185185185185186
[1024, 512, 256]	0.4	0.765545361875637	0.27205015464916454	0.3725597543483206	0.93346155	0.5454545454545455
[1024, 512, 256]	0.5	0.7696228338430173	0.2995599158960642	0.43383112709068045	0.9464164	0.5454545454545455
[128, 64, 32]	0.1	0.7594291539245667	0.30337740257628576	0.46674338490648654	0.90053403	0.5263157894736842
[128, 64, 32]	0.2	0.7675840978593271	0.3216030379683067	0.49047443127489715	0.939631	0.5263157894736842
[128, 64, 32]	0.3	0.761467889908257	0.30060374562352044	0.43507186357304767	0.8029720000000001	0.5454545454545455
[128, 64, 32]	0.4	0.763506625891947	0.3012959091921269	0.4342192509372856	0.9651096000000001	0.5263157894736842
[128, 64, 32]	0.5	0.7533129459734965	0.29041664371640363	0.42229016674143616	0.34504634	0.5
[256, 128, 64]	0.1	0.7675840978593271	0.29210412834344923	0.4399755264574803	0.9123123	0.5454545454545455
[256, 128, 64]	0.2	0.763506625891947	0.2899039193763519	0.41947278732832294	0.888069	0.5454545454545455
[256, 128, 64]	0.3	0.7655453618756372	0.2992073004326258	0.4338311234837529	0.9604098999999999	0.5454545454545455
[256, 128, 64]	0.4	0.764525993883792	0.2942168903559896	0.42707379882954477	0.9194055999999999	0.5454545454545455
[256, 128, 64]	0.5	0.7594291539245668	0.29380440783341527	0.42707379631158726	0.9652370999999998	0.5454545454545455
[512, 256, 128]	0.1	0.7747196738022425	0.29819159668855666	0.43100795167006484	0.970679	0.5263157894736842
[512, 256, 128]	0.2	0.7767584097859327	0.31659631184114245	0.475887159602549	0.9498393499999999	0.5454545454545455
[512, 256, 128]	0.3	0.7737003058103975	0.30227455586650986	0.45297407267590384	0.9474343	0.5714285714285714
[512, 256, 128]	0.4	0.7686034658511723	0.2963278509214264	0.42831456698712456	0.9037751	0.5454545454545455
[512, 256, 128]	0.5	0.7787971457696228	0.33232325265691476	0.4985468532700491	0.94072306	0.5263157894736842
