hidden_layer_size	dropout	auc	aupr	bedauc	threshold	f1
[1024, 512, 256]	0.1	0.7023445463812436	0.2738312149083029	0.46018194868092605	0.8807915	0.5
[1024, 512, 256]	0.2	0.7074413863404688	0.2821598784864343	0.47141779138614626	0.9184484000000002	0.5
[1024, 512, 256]	0.3	0.7074413863404689	0.26526888443651975	0.433961353511083	0.8899972999999999	0.5
[1024, 512, 256]	0.4	0.7013251783893986	0.28154120536898025	0.4714175106618925	0.8979299700000001	0.5
[1024, 512, 256]	0.5	0.7257900101936798	0.2766791853857655	0.46018553434646875	0.9242809	0.5
[128, 64, 32]	0.1	0.6901121304791028	0.2560765252670316	0.4077639236728901	0.7931595	0.5
[128, 64, 32]	0.2	0.6860346585117226	0.2765123751153564	0.45745749558787485	0.83020777	0.5
[128, 64, 32]	0.3	0.6860346585117227	0.2557192921769057	0.4077638849402315	0.8683482	0.5
[128, 64, 32]	0.4	0.6952089704383282	0.26272698988724696	0.41664232860346806	0.8940803	0.5
[128, 64, 32]	0.5	0.6952089704383283	0.25651763432446095	0.40776391129222916	0.9497045	0.5
[256, 128, 64]	0.1	0.7084607543323138	0.25141354805248783	0.3944617150389762	0.76801664	0.5
[256, 128, 64]	0.2	0.7176350662589194	0.2817087480703041	0.45981801151060486	0.92863595	0.5
[256, 128, 64]	0.3	0.7033639143730887	0.27030262109570247	0.4411351750821041	0.8801469	0.5
[256, 128, 64]	0.4	0.7064220183486238	0.2701298783611762	0.4411332797144725	0.9218892000000001	0.5
[256, 128, 64]	0.5	0.7145769622833842	0.2710893081803145	0.4411344098468171	0.9651197999999999	0.5
[512, 256, 128]	0.1	0.7217125382262997	0.26684602406127544	0.43396179050806555	0.8753088	0.5
[512, 256, 128]	0.2	0.7237512742099896	0.25982058983761636	0.4206513972821709	0.8571769999999999	0.5
[512, 256, 128]	0.3	0.7115188583078491	0.2706857400050975	0.44113297027770415	0.9078177000000001	0.5
[512, 256, 128]	0.4	0.7135575942915391	0.28092536601816365	0.45981536154716707	0.8934443599999999	0.5
[512, 256, 128]	0.5	0.7237512742099897	0.2750524739981596	0.4451979570143975	0.8333821	0.5
