hidden_layer_size	dropout	auc	aupr	bedauc	threshold	f1
[1024, 512, 256]	0.1	0.7614678899082569	0.5190527412377983	0.6433830662517759	0.9513659999999999	0.5263157894736842
[1024, 512, 256]	0.2	0.780835881753313	0.3071554000125428	0.47937742892944246	0.6995399	0.5
[1024, 512, 256]	0.3	0.783893985728848	0.31092375187858745	0.4828901776288855	0.8946788299999999	0.5217391304347826
[1024, 512, 256]	0.4	0.7787971457696228	0.31036443803728764	0.4828900488131655	0.6939442	0.5217391304347826
[1024, 512, 256]	0.5	0.7726809378185525	0.31223170126378774	0.4893098908280836	0.9647243	0.5263157894736842
[128, 64, 32]	0.1	0.7767584097859328	0.2980846467007177	0.4386487347130206	0.51734245	0.5454545454545455
[128, 64, 32]	0.2	0.7798165137614679	0.3229255825964612	0.49852574687139406	0.7424317	0.5714285714285714
[128, 64, 32]	0.3	0.782874617737003	0.3208673148274222	0.5122859655759137	0.88750374	0.5263157894736842
[128, 64, 32]	0.4	0.7573904179408766	0.3993128573856006	0.5474565303881094	0.8751465699999998	0.5
[128, 64, 32]	0.5	0.7665647298674823	0.3062728774469151	0.4857235244072159	0.8845166599999998	0.5263157894736842
[256, 128, 64]	0.1	0.7818552497451581	0.3183750694392633	0.49035222959206626	0.9081291	0.5263157894736842
[256, 128, 64]	0.2	0.780835881753313	0.30105500551505326	0.4677998233295682	0.39889124	0.5217391304347826
[256, 128, 64]	0.3	0.7767584097859327	0.30916348107735037	0.4754000088193303	0.9285862	0.5263157894736842
[256, 128, 64]	0.4	0.7706422018348623	0.2871643918197474	0.424780949271548	0.9557233	0.5263157894736842
[256, 128, 64]	0.5	0.7737003058103975	0.2930696110338458	0.43722395334236436	0.715789	0.5454545454545455
[512, 256, 128]	0.1	0.7767584097859328	0.30909103844730923	0.4753999571554153	0.92091244	0.5263157894736842
[512, 256, 128]	0.2	0.7737003058103976	0.29772188290605	0.4386486481024902	0.9161324499999999	0.5454545454545455
[512, 256, 128]	0.3	0.7726809378185525	0.29755045672417174	0.4386485970830833	0.85760707	0.5454545454545455
[512, 256, 128]	0.4	0.7747196738022426	0.2883685093206141	0.42510072727744397	0.9827188	0.5263157894736842
[512, 256, 128]	0.5	0.7747196738022426	0.30120114607958914	0.44314350826106885	0.9214641	0.5714285714285714
