cell	similarity_type	l1	l2	fold	auc
All	disease_similarity	0.0	0.1	1	0.6640194053916438
All	disease_similarity	0.0	0.1	2	0.7079856298265962
All	disease_similarity	0.0	0.1	3	0.6723006421317643
All	disease_similarity	0.0	0.1	4	0.7050543962903513
All	disease_similarity	0.0	0.1	5	0.6623079969449238
All	disease_similarity	0.0	1.0	1	0.6877811094452774
All	disease_similarity	0.0	1.0	2	0.7238196939266217
All	disease_similarity	0.0	1.0	3	0.6959986987638257
All	disease_similarity	0.0	1.0	4	0.7146923488496522
All	disease_similarity	0.0	1.0	5	0.6813032163163701
All	disease_similarity	0.0	10.0	1	0.7022644338208255
All	disease_similarity	0.0	10.0	2	0.7300041017227235
All	disease_similarity	0.0	10.0	3	0.7126672512800204
All	disease_similarity	0.0	10.0	4	0.7203923666845016
All	disease_similarity	0.0	10.0	5	0.6917520013578117
All	disease_similarity	0.0	100.0	1	0.7021300670419508
All	disease_similarity	0.0	100.0	2	0.7202342225113858
All	disease_similarity	0.0	100.0	3	0.7147888319990947
All	disease_similarity	0.0	100.0	4	0.7105760656322454
All	disease_similarity	0.0	100.0	5	0.6854402987185654
All	disease_similarity	0.0	1000.0	1	0.6768054651919324
All	disease_similarity	0.0	1000.0	2	0.6856524567904727
All	disease_similarity	0.0	1000.0	3	0.6845421628808237
All	disease_similarity	0.0	1000.0	4	0.6612948100588552
All	disease_similarity	0.0	1000.0	5	0.6385957964414019
All	disease_similarity	0.1	0.1	1	0.665455008344884
All	disease_similarity	0.1	0.1	2	0.7055033803852792
All	disease_similarity	0.1	0.1	3	0.674860682866114
All	disease_similarity	0.1	0.1	4	0.7078152309612983
All	disease_similarity	0.1	0.1	5	0.6627888885745806
All	disease_similarity	0.1	1.0	1	0.6770671268139515
All	disease_similarity	0.1	1.0	2	0.7212313654493507
All	disease_similarity	0.1	1.0	3	0.6952349297049589
All	disease_similarity	0.1	1.0	4	0.7149705724986624
All	disease_similarity	0.1	1.0	5	0.6802494978925632
All	disease_similarity	0.1	10.0	1	0.6995594184040056
All	disease_similarity	0.1	10.0	2	0.7309269893355208
All	disease_similarity	0.1	10.0	3	0.7094990240728692
All	disease_similarity	0.1	10.0	4	0.7176886035313002
All	disease_similarity	0.1	10.0	5	0.6938912619162118
All	disease_similarity	0.1	100.0	1	0.7024483041498119
All	disease_similarity	0.1	100.0	2	0.7202483663828462
All	disease_similarity	0.1	100.0	3	0.7148100478062855
All	disease_similarity	0.1	100.0	4	0.7102086677367576
All	disease_similarity	0.1	100.0	5	0.6851715651608158
All	disease_similarity	0.1	1000.0	1	0.6768125371276625
All	disease_similarity	0.1	1000.0	2	0.6856453848547426
All	disease_similarity	0.1	1000.0	3	0.6845456988486888
All	disease_similarity	0.1	1000.0	4	0.6612591403602639
All	disease_similarity	0.1	1000.0	5	0.6385816525699415
All	disease_similarity	1.0	0.1	1	0.6717490311448049
All	disease_similarity	1.0	0.1	2	0.7110760657407144
All	disease_similarity	1.0	0.1	3	0.6847472490170009
All	disease_similarity	1.0	0.1	4	0.7072409488139825
All	disease_similarity	1.0	0.1	5	0.6667421006477894
All	disease_similarity	1.0	1.0	1	0.6862182116488926
All	disease_similarity	1.0	1.0	2	0.718529886000396
All	disease_similarity	1.0	1.0	3	0.6919535515261238
All	disease_similarity	1.0	1.0	4	0.7109612983770287
All	disease_similarity	1.0	1.0	5	0.6723006421317643
All	disease_similarity	1.0	10.0	1	0.7003832989165795
All	disease_similarity	1.0	10.0	2	0.7270657124268054
All	disease_similarity	1.0	10.0	3	0.7083321546773784
All	disease_similarity	1.0	10.0	4	0.7200142678794363
All	disease_similarity	1.0	10.0	5	0.6908856892308564
All	disease_similarity	1.0	100.0	1	0.7024978076999235
All	disease_similarity	1.0	100.0	2	0.7211783259313739
All	disease_similarity	1.0	100.0	3	0.7136290345393342
All	disease_similarity	1.0	100.0	4	0.7091064740502943
All	disease_similarity	1.0	100.0	5	0.6841461344799298
All	disease_similarity	1.0	1000.0	1	0.6769327600350769
All	disease_similarity	1.0	1000.0	2	0.6856666006619332
All	disease_similarity	1.0	1000.0	3	0.6846906735311589
All	disease_similarity	1.0	1000.0	4	0.6612769752095595
All	disease_similarity	1.0	1000.0	5	0.6380724731973635
All	disease_similarity	10.0	0.1	1	0.692872903171056
All	disease_similarity	10.0	0.1	2	0.7216592175610308
All	disease_similarity	10.0	0.1	3	0.6947469661395718
All	disease_similarity	10.0	0.1	4	0.713354735152488
All	disease_similarity	10.0	0.1	5	0.6843582925518372
All	disease_similarity	10.0	1.0	1	0.6923283641198269
All	disease_similarity	10.0	1.0	2	0.7204817402619446
All	disease_similarity	10.0	1.0	3	0.7022396820457695
All	disease_similarity	10.0	1.0	4	0.7124273229891209
All	disease_similarity	10.0	1.0	5	0.6760098724222794
All	disease_similarity	10.0	10.0	1	0.7032686486945207
All	disease_similarity	10.0	10.0	2	0.7243677689457159
All	disease_similarity	10.0	10.0	3	0.7058322253967356
All	disease_similarity	10.0	10.0	4	0.7196504369538078
All	disease_similarity	10.0	10.0	5	0.6890399140052615
All	disease_similarity	10.0	100.0	1	0.7009561257107295
All	disease_similarity	10.0	100.0	2	0.7198806257248733
All	disease_similarity	10.0	100.0	3	0.7120166331928375
All	disease_similarity	10.0	100.0	4	0.7048760477973961
All	disease_similarity	10.0	100.0	5	0.6828307544341037
All	disease_similarity	10.0	1000.0	1	0.6760063364544142
All	disease_similarity	10.0	1000.0	2	0.6856666006619332
All	disease_similarity	10.0	1000.0	3	0.6850513422534016
All	disease_similarity	10.0	1000.0	4	0.6607312288211165
All	disease_similarity	10.0	1000.0	5	0.6382351277191592
All	disease_similarity	100.0	0.1	1	0.6988133291844644
