hidden_layer_size	dropout	auc	aupr	bedauc	threshold	f1
[1024, 512, 256]	0.1	0.7667923113914741	0.21412565262696265	0.321468871024969	0.7153181	0.3384615384615385
[1024, 512, 256]	0.2	0.775741846058103	0.23014514616161025	0.34476381768788406	0.72877866	0.3404255319148936
[1024, 512, 256]	0.3	0.7713042063873723	0.28035817629552057	0.20255603197128208	0.9949271700000001	0.33132530120481923
[1024, 512, 256]	0.4	0.7717921699527595	0.2455176442382717	0.2976688180024932	0.76377887	0.3488372093023256
[1024, 512, 256]	0.5	0.7714703968770332	0.23011870797604242	0.31948422903468116	0.62883943	0.316622691292876
[128, 64, 32]	0.1	0.7737864558286894	0.2088181758634448	0.2995374851541874	0.40299928000000007	0.31671554252199413
[128, 64, 32]	0.2	0.7736485530819496	0.20054096537261729	0.2885059434962385	0.056101315	0.3201970443349754
[128, 64, 32]	0.3	0.7677364148114623	0.2079402739989708	0.30665939304464196	0.6695015	0.3183183183183183
[128, 64, 32]	0.4	0.7673368504427031	0.22905894800506124	0.32586701358267117	0.3104432	0.31693989071038253
[128, 64, 32]	0.5	0.7652683092416056	0.21190401967829858	0.3174227248022577	0.9601518	0.30324909747292417
[256, 128, 64]	0.1	0.7789878645582868	0.2285711181085887	0.32506444904751186	0.722713	0.33827893175074186
[256, 128, 64]	0.2	0.7798188170065912	0.2352477770667544	0.307908247721588	0.99015874	0.3344051446945338
[256, 128, 64]	0.3	0.7809255749483748	0.2446164952309689	0.36428579476026635	0.79384005	0.3261538461538461
[256, 128, 64]	0.4	0.7744618256909281	0.23375424488865634	0.34173337776181867	0.9284686000000001	0.31475409836065565
[256, 128, 64]	0.5	0.7747871347345195	0.22836812897223596	0.33010809155236476	0.7578841	0.32919254658385094
[512, 256, 128]	0.1	0.7679238211083137	0.21866208375420845	0.3319880409797944	0.38451624	0.3385579937304075
[512, 256, 128]	0.2	0.7709187858900738	0.22405009987661972	0.2900300864220885	0.96599734	0.3374233128834356
[512, 256, 128]	0.3	0.7728069927300502	0.22483410144312393	0.3346853297035953	0.7717198	0.3027295285359802
[512, 256, 128]	0.4	0.7745219371446352	0.23134372083305194	0.33726479256373076	0.89588493	0.33810888252149
[512, 256, 128]	0.5	0.7717886339848943	0.21863048860348894	0.32693846224903916	0.9711916	0.3365079365079365
