hidden_layer_size	dropout	auc	aupr	bedauc	threshold	f1
[1024, 512, 256]	0.1	0.7460786116375774	0.25857417037247543	0.3759971667411133	0.99872845	0.3203125
[1024, 512, 256]	0.2	0.7317791575910159	0.2524592962216412	0.36875089513052783	0.99421775	0.3490909090909091
[1024, 512, 256]	0.3	0.7312735141863032	0.24521686061833883	0.36086649381360597	0.9987910400000001	0.3235294117647059
[1024, 512, 256]	0.4	0.726397414500297	0.24024496606244644	0.36384720938693876	0.9999172699999999	0.3263598326359832
[1024, 512, 256]	0.5	0.732242369381347	0.2458713545870253	0.3645736048880846	0.98448086	0.33116883116883117
[128, 64, 32]	0.1	0.7422420865039179	0.23170308962088212	0.3476492835101825	0.9918445	0.34351145038167935
[128, 64, 32]	0.2	0.7367542643772453	0.20912001067849917	0.3412402895538809	0.9873562999999999	0.32684824902723736
[128, 64, 32]	0.3	0.7324580634211197	0.22433248314093818	0.34640539901700884	0.99655735	0.3359375
[128, 64, 32]	0.4	0.7337911233062714	0.2292974602621592	0.34548912661139497	0.99264586	0.3235294117647059
[128, 64, 32]	0.5	0.7343285904217702	0.22267514932020532	0.3374111987132824	0.9733401	0.33204633204633205
[256, 128, 64]	0.1	0.7414252779270742	0.26353382918497087	0.36311581241497354	0.7089041	0.3498542274052478
[256, 128, 64]	0.2	0.7383242341093604	0.24144764197910376	0.3583577123981441	0.9899602	0.32575757575757575
[256, 128, 64]	0.3	0.7420299284320103	0.23709169846365583	0.3564770150014689	0.98548156	0.33707865168539325
[256, 128, 64]	0.4	0.7448799185313003	0.2316808685658697	0.35592350624297525	0.9880183	0.32365145228215764
[256, 128, 64]	0.5	0.7405660377358491	0.2275009964562825	0.351478646771942	0.9849539	0.3157894736842105
[512, 256, 128]	0.1	0.741817770360103	0.25553903056082217	0.3636771932890635	0.9881081999999999	0.3458646616541353
[512, 256, 128]	0.2	0.7375109615003819	0.25417684194723317	0.3680050260498314	0.9883051999999999	0.3367003367003367
[512, 256, 128]	0.3	0.7371927243925208	0.2433380512412068	0.3592172391709581	0.99358773	0.33070866141732286
[512, 256, 128]	0.4	0.7378787021583547	0.23572801515750133	0.3532192514172854	0.9716588999999999	0.3262411347517731
[512, 256, 128]	0.5	0.7394769596333908	0.23061562086082393	0.34700442390248987	0.9866403	0.31896551724137934
