hidden_layer_size	dropout	auc	aupr	bedauc	threshold	f1
[1024, 512, 256]	0.1	0.7737404882464429	0.22237604028221908	0.3292161806753784	0.9724564599999999	0.3172413793103448
[1024, 512, 256]	0.2	0.7783867500212158	0.23954956612074998	0.3386144041384151	0.42803772999999995	0.314868804664723
[1024, 512, 256]	0.3	0.7729413595089247	0.2135910909944752	0.3319701980121197	0.45291603	0.3333333333333333
[1024, 512, 256]	0.4	0.7777290599983028	0.23423229158373685	0.3310205649395088	0.055980828	0.3126843657817109
[1024, 512, 256]	0.5	0.7769016435178636	0.23089195641941532	0.335451839287922	0.33766946	0.32
[128, 64, 32]	0.1	0.7721952702893837	0.1990472830934871	0.3002982307790245	0.46262312000000005	0.33121019108280253
[128, 64, 32]	0.2	0.7797374897456931	0.22330364889442764	0.3155711550254152	0.9853661	0.32857142857142857
[128, 64, 32]	0.3	0.7721280868999463	0.21094335588200908	0.3197061393620935	0.7302756	0.32727272727272727
[128, 64, 32]	0.4	0.773174733388023	0.20615726632068215	0.31261901932024294	0.7610721	0.3323076923076923
[128, 64, 32]	0.5	0.7729908630590364	0.213301451944387	0.31856648307553964	0.6874939	0.32919254658385094
[256, 128, 64]	0.1	0.7822232751548754	0.23223723324842327	0.3376559709137246	0.1543268	0.3202614379084967
[256, 128, 64]	0.2	0.7801335181465872	0.2392113195009368	0.34511064293612104	0.8665436	0.31229235880398676
[256, 128, 64]	0.3	0.7760706910695596	0.22354568256810042	0.3293862726696445	0.9768867	0.3161764705882353
[256, 128, 64]	0.4	0.7780543690418941	0.24140410281950803	0.3439695519096624	0.038212538	0.31746031746031744
[256, 128, 64]	0.5	0.7758196373511359	0.2258326891769355	0.332461899697673	0.42387207999999993	0.3184357541899442
[512, 256, 128]	0.1	0.7670044694633815	0.21076336631680315	0.3339655156613742	0.9993198	0.32
[512, 256, 128]	0.2	0.7760317954230432	0.235779732650944	0.34348046975514474	0.3991845	0.3243243243243243
[512, 256, 128]	0.3	0.7800380470142289	0.2472334035014015	0.35000076943974157	0.99454284	0.34267912772585674
[512, 256, 128]	0.4	0.7738819269610479	0.2282438786204885	0.3263604202880441	0.8435173600000001	0.325
[512, 256, 128]	0.5	0.7772764561115669	0.2307515976128724	0.34151032111719104	0.17414194	0.3293413173652695
