hidden_layer_size	dropout	auc	aupr	bedauc	threshold	f1
[1024, 512, 256]	0.1	0.7497029786993297	0.23282682915974692	0.3707709359541215	0.9980548600000001	0.3255813953488372
[1024, 512, 256]	0.2	0.7489816412548442	0.2405004959655761	0.376534097350301	0.9983101	0.32456140350877194
[1024, 512, 256]	0.3	0.7549291392039829	0.24040198744984895	0.37582845563491046	0.97627777	0.3153526970954357
[1024, 512, 256]	0.4	0.748373454782043	0.23280257490384276	0.3688335917093546	0.9962136000000001	0.32
[1024, 512, 256]	0.5	0.7502934853328054	0.24371102247479554	0.3727200496218057	0.8920771999999999	0.3235294117647059
[128, 64, 32]	0.1	0.7566723713614891	0.23789450748368673	0.3578907718658931	0.9798688	0.33082706766917297
[128, 64, 32]	0.2	0.7534440327006309	0.24008261609666826	0.3547640740460201	0.9543887	0.32055749128919864
[128, 64, 32]	0.3	0.7512375887527933	0.22828434150997579	0.3426698755819597	0.9413115399999998	0.31333333333333335
[128, 64, 32]	0.4	0.7559404260134085	0.23438808335197775	0.3500303856577783	0.9803473	0.31967213114754095
[128, 64, 32]	0.5	0.7507637690588669	0.24068481803873523	0.35215363705944464	0.90538186	0.32323232323232326
[256, 128, 64]	0.1	0.7553958869621793	0.24590433873953713	0.37097478997087796	0.9309043000000001	0.31654676258992803
[256, 128, 64]	0.2	0.7544058159599445	0.23212422522923148	0.36314013055997807	0.9627014	0.31932773109243695
[256, 128, 64]	0.3	0.759921925829538	0.22192645593516636	0.3464431134730952	0.9743980000000001	0.3109243697478991
[256, 128, 64]	0.4	0.7603674577805437	0.23091706431813713	0.35427893402291827	0.8116908	0.3063063063063063
[256, 128, 64]	0.5	0.7622980962349014	0.22825229276482925	0.3557148092185982	0.9222721999999999	0.30901287553648066
[512, 256, 128]	0.1	0.7459407088908376	0.2213782373597581	0.3532211612074159	0.9751037	0.3261538461538461
[512, 256, 128]	0.2	0.7494483890130407	0.2465114017588208	0.3689630872090761	0.9899027300000001	0.31884057971014496
[512, 256, 128]	0.3	0.7563010947356511	0.23281493220921923	0.3603037551596411	0.9610794	0.31875
[512, 256, 128]	0.4	0.7546816214534242	0.24831860616618345	0.3630394870315361	0.9735217	0.30973451327433627
[512, 256, 128]	0.5	0.7550069304970157	0.23744704934122648	0.3684046463888522	0.97119313	0.31304347826086953
