UMLS_id	entrezgene	gene	disease_id	disease_name	disease_name_ja	disease_degree
C0023467	hsa:2908	NR3C1	H00003	Acute myeloid leukemia	急性骨髄性白血病	7
C0023467	hsa:6850	SYK	H00003	Acute myeloid leukemia	急性骨髄性白血病	7
C0023467	hsa:5371	PML	H00003	Acute myeloid leukemia	急性骨髄性白血病	7
C0023467	hsa:5914	RARA	H00003	Acute myeloid leukemia	急性骨髄性白血病	7
C0023467	hsa:5915	RARB	H00003	Acute myeloid leukemia	急性骨髄性白血病	7
C0023467	hsa:5916	RARG	H00003	Acute myeloid leukemia	急性骨髄性白血病	7
C0023467	hsa:7157	TP53	H00003	Acute myeloid leukemia	急性骨髄性白血病	7
C0023473	hsa:2908	NR3C1	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	2
C0023473	hsa:3455	IFNAR2	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	2
C0023434	hsa:2908	NR3C1	H00005	Chronic lymphocytic leukemia	慢性リンパ性白血病	1
C0003873	hsa:2908	NR3C1	H00630	Rheumatoid arthritis	関節リウマチ	2
C0003873	hsa:1493	CTLA4	H00630	Rheumatoid arthritis	関節リウマチ	2
C0021390	hsa:2908	NR3C1	H01227	Inflammatory bowel disease (IBD)	炎症性腸疾患 (IBD)	2
C0021390	hsa:3586	IL10	H01227	Inflammatory bowel disease (IBD)	炎症性腸疾患 (IBD)	2
C0162820	hsa:2908	NR3C1	H01357	Allergic contact dermatitis	アレルギー性接触性皮膚炎	1
C0011615	hsa:2908	NR3C1	H01358	Atopic dermatitis	アトピー性皮膚炎	2
C0011615	hsa:3586	IL10	H01358	Atopic dermatitis	アトピー性皮膚炎	2
C0009324	hsa:2908	NR3C1	H01466	Ulcerative colitis	潰瘍性大腸炎	3
C0009324	hsa:3586	IL10	H01466	Ulcerative colitis	潰瘍性大腸炎	3
C0009324	hsa:1493	CTLA4	H01466	Ulcerative colitis	潰瘍性大腸炎	3
C0004096	hsa:2908	NR3C1	H00079	Asthma	喘息	8
C0004096	hsa:8651	SOCS1	H00079	Asthma	喘息	8
C0004096	hsa:8835	SOCS2	H00079	Asthma	喘息	8
C0004096	hsa:8835	(SOCS2)	H00079	Asthma	喘息	8
C0004096	hsa:122809	SOCS4	H00079	Asthma	喘息	8
C0004096	hsa:9306	SOCS6	H00079	Asthma	喘息	8
C0004096	hsa:154	ADRB2	H00079	Asthma	喘息	8
C0004096	hsa:135	ADORA2A	H00079	Asthma	喘息	8
