UMLS_id	entrezgene	gene	disease_id	disease_name	disease_name_ja	disease_degree
C0023467	hsa:25	ABL1	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:10383	TUBB2C	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:7280	TUBB2A	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:84617	TUBB6	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:6240	RRM1	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:3717	JAK2	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:2322	FLT3	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:613	BCR	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:3251	HPRT1	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:7150	TOP1	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:7153	TOP2A	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:7155	TOP2B	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:3815	KIT	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:5159	PDGFRB	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:7852	CXCR4	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:4914	NTRK1	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:4916	NTRK3	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:5578	PRKCA	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:5579	PRKCB	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:3791	KDR	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:3265	HRAS	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:3845	KRAS	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:4893	NRAS	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:331	XIAP	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:6387	CXCL12	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:4609	MYC	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:1786	DNMT1	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:1788	DNMT3A	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:596	BCL2	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023467	hsa:290	ANPEP	H00003	Acute myeloid leukemia	急性骨髄性白血病	30
C0023473	hsa:25	ABL1	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
C0023473	hsa:10381	TUBB3	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
C0023473	hsa:10383	TUBB2C	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
C0023473	hsa:7280	TUBB2A	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
C0023473	hsa:84617	TUBB6	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
C0023473	hsa:6240	RRM1	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
C0023473	hsa:6790	AURKA	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
C0023473	hsa:9212	AURKB	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
C0023473	hsa:6795	AURKC	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
C0023473	hsa:3717	JAK2	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
C0023473	hsa:2322	FLT3	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
C0023473	hsa:613	BCR	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
C0023473	hsa:3251	HPRT1	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
C0023473	hsa:7153	TOP2A	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
C0023473	hsa:7155	TOP2B	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
C0023473	hsa:5156	PDGFRA	H00004	Chronic myeloid leukemia	慢性骨髄性白血病	29
