disease_id	entrezgene	gene	disease_name	disease_name_ja	UMLS_id	disease_degree
H00003	hsa:25	ABL1	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:3717	JAK2	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:2322	FLT3	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:613	BCR	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:3815	KIT	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:7852	CXCR4	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:5159	PDGFRB	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:4914	NTRK1	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:4916	NTRK3	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:5578	PRKCA	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:3791	KDR	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:7424	VEGFC	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:3265	HRAS	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:3845	KRAS	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:4893	NRAS	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:331	XIAP	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:6387	CXCL12	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00003	hsa:4609	MYC	Acute myeloid leukemia	急性骨髄性白血病	C0023467	18
H00004	hsa:25	ABL1	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:6790	AURKA	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:9212	AURKB	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:6795	AURKC	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:3717	JAK2	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:2322	FLT3	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:613	BCR	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:3815	KIT	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:5159	PDGFRB	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:4609	MYC	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:6714	SRC	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:5156	PDGFRA	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:1969	EPHA2	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:3932	LCK	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
